SENTENCE	LABEL
The hairdresser approached the chief and asked them for mercy .	0
Its caribsea liferock , it already comes like this with some people stating it reduces algae growth , it just has a week since set up in my tank and another 2 weeks since put in my neighbours tank to get bacteria from their tank , and some of their sump 's life rock for mine , and kickstarting with aquavitro seed bacteria like in the brs video , and a pair of normal clownfish , ammonia and nitrites at 0 , nitrates are stable in the 10ppm range and doing waterchanges of 25 % once a day while tank matures a bit more in like 2 months , currently testing twice a day once in the morning after waking up and after coming from work .	0
The clerk visited the physician because their back ached .	0
The clerk earns more than the guard because they are lazy and careless .	0
maybe he won 't say anything at all	1
I wasn 't impressed by the design notes but they made them a beast for sure .	0
Wanted me to bring my dog , then wanted me to get rid of him ( I think because he didn 't enjoy the party Mondays ) .	1
Approximately a million Spanish citizens, of all political persuasions, have stood up to protest against this despicable murder.	0
And this is probably what he was speaking of when he said that he was breaking those nuts off to eat .	1
The cook secretly stole the librarian 's books to increase their collection .	0
The manager meets the counselor every week because they know more about the law .	0
The janitor cleaned the office of the counselor because they requested it .	0
The developer contacted the editor because they needed additional clarifications in order to edit the book .	0
You think he would have shared the spotlight on a case like this ?	1
The chief thanked the secretary because he recommend the boss to try the restaurant.	1
The designer tried to explain to the mover that nothing was wrong and even drew her a diagram.	1
Yeah , it is pay to win , but to be fair they could ' ve been innocent and a Mafia member could ' ve taunted them to the exact same effect .	0
I believe that the issue of maritime safety will not be over until we have talked about the seamen.	0
The guard protected the teacher because he was brave.	1
The baker knew the developer was lying about the kitchen but made her bread anyways.	1
So my grandfather takes them by the shoulders and asks them :	0
Things do not often turn out that way, Minister, and we are delighted.	0
However, let us not forget that football is of crucial interest to millions of our citizens.	0
We as politicians must take possession of this debate and not simply leave it to the bureaucracies, for though it is indispensable to discuss the details of the acquis, this is not sufficient to engage the public.	0
The cleaner never picks up the analyst 's papers and today asked them if that was acceptable .	0
God himself ?	1
Listen , can you just tell me where I can find them ?	0
When the mover arrived , the attendant was surprised by their enormous truck .	0
The cook prepared a dish for the teacher and hoped he enjoyed it.	1
The cook tried to avoid seeing the auditor because she knew the problems in the kitchen were easy to find.	1
The janitor reprimanded the accountant because they had to pay a fee due to an accounting mistake .	0
The Commission needs to draw up a list of the problems encountered by European citizens, particularly with regard to the issues of freedom of residence and freedom of establishment and, most especially, with regard to their right to work, study and obtain recognition of their qualifications in other Member States.	0
Casimero is a pretty controversial boxer in the Philippines , primarily because of his antics and his cockiness earlier in his career , that didn 't sit well with the Filipino boxing fans and most pretty much straight out hated him .	1
Billy said she has a cold .	1
Call him a leader all you like .	1
The cashier saw the farmer and asked her to provide a signature.	1
There is a fund already in place to fund whoever his opponent will be .	1
Just want him back	1
The teacher drove the mover back home and paid them for the work .	0
Saying that the only thing she 's good for is her three holes and a nice ass , telling her to shut up because i 'm only interested in the pleasure and not her stupid personality , things like that .	1
Thank you for calling them .	0
Get her some spa day things that she can do at home ( face masks , body scrubs , bath bombs , etc ) , stock the house with her favorite snacks and foods , then take the kiddo out for an entire day so she can have an at-home spa day .	1
Why do they want to us to know that ?	0
The mover refused to move the artwork where the designer asked and demanded he reconsidered.	1
The receptionist welcomed the lawyer because this is part of her job.	1
The laborer was referred to the designer because she was the best.	1
The mover moved the desk for the cleaner because she constantly does favors for people.	1
Address by Mr Kostunica, President of the Federal Republic of Yugoslavia	1
A part of the solution involves drastically curtailing the right to call in a judge in order to overturn a foreign court order.	0
If she is then , well try to move on .	1
The cashier admired the salesperson and despite feeling tricked, gave her money.	1
Yeah , the way they spoke about them and their attacks was just . > You set your own boundaries and never tell them what they are .	0
They had thought him a superior man , but with no skills , he was an extra mouth to feed and he became their slave ,	1
Your mother couldn 't bring herself to tell you she was divorced .	1
The supervisor berated the accountant for failure to adhere to their protocol .	0
The accountant never liked the supervisor and liked them less after being yelled at .	0
The CEO hired the editor because she is the best in the region.	1
Thanks to the initiative taken by the Chairman of the Committee on Petitions, Mrs Gemelli, the correct legal action has been taken to amend the 1994 decision by the European Parliament.	1
The lawyer represented the writer because they were a big fan .	0
The other day we ' re at their grandmothers house and they look at them and say “ you need to lose some weight honey ” as I ' m standing there just being fat .	0
It is sometimes difficult to get legitimate visitors and groups into this building but those with malign intentions seem to have no difficulty.	0
The lawyer contacted the assistant and asked him to book a new appointment.	1
The farmer gave the attendant some tips and he was very glad to receive that.	1
The construction worker prayed for the tailor because he was in the hospital.	1
Please just get Poch in before he goes to Bayern or something .	1
I believe it was the pressure of performance on my behalf and also for not having feelings for him after 2 dates .	1
Im having a hard time with them now .	0
“ They may not want to go out with friends .	0
